��Ŀ,����ID,Ӧ������,Ӧ��Key,��Ʒ����,��ƷID,�û�id,������ID,��ϷID,֧�����(Ԫ),����ʱ��,֧��ʱ��,֪ͨʱ��,�ص���ַ,֧������,Ӧ�ö�����,Ӧ����չ�ֶ�
21,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,597846520,h17,17014355,0.05,2014-3-15 6:31,2014-3-15 6:32,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,50元宝
22,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,600228640,h9,9022614,0.05,2014-3-15 6:31,2014-3-15 6:32,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
23,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,429657200,h18,18026076,20,2014-3-15 6:32,2014-3-15 6:32,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,20000元宝
24,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,616998104,h23,23020026,0.05,2014-3-15 6:32,2014-3-15 6:33,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
25,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,429657200,h18,18026076,20,2014-3-15 6:33,2014-3-15 6:33,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,20000元宝
26,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,337109959,h24,24017123,0.05,2014-3-15 6:33,2014-3-15 6:33,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
27,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,429657200,h18,18026076,0.05,2014-3-15 6:35,2014-3-15 6:35,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
28,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,5000元宝,1.10032E+20,599736226,h9,9027291,5,2014-3-15 6:35,2014-3-15 6:35,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,360币,1.10E+20,5000元宝
29,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,616998104,h23,23020026,0.05,2014-3-15 6:37,2014-3-15 6:37,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
30,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,2000元宝,1.10032E+20,456879619,h7,7000183,2,2014-3-15 6:37,2014-3-15 6:37,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,2000元宝
31,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,201389451,h10,10019776,1,2014-3-15 6:37,2014-3-15 6:37,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,360币,1.10E+20,1000元宝
32,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,5000元宝,1.10032E+20,290751511,h25,25001963,5,2014-3-15 6:37,2014-3-15 6:37,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,5000元宝
33,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,5000元宝,1.10032E+20,599736226,h9,9027291,5,2014-3-15 6:37,2014-3-15 6:38,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,360币,1.10E+20,5000元宝
34,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,100元宝,1.10032E+20,404349398,h13,13016412,0.1,2014-3-15 6:37,2014-3-15 6:37,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,100元宝
35,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,201389451,h10,10019776,20,2014-3-15 6:39,2014-3-15 6:39,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,360币,1.10E+20,20000元宝
36,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,616998104,h23,23020026,0.05,2014-3-15 6:39,2014-3-15 6:40,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
37,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,300元宝,1.10032E+20,635098803,h13,13029945,0.3,2014-3-15 6:41,2014-3-15 6:42,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,300元宝
38,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,329728943,h16,16026623,0.05,2014-3-15 6:41,2014-3-15 6:42,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
39,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,500元宝,1.10032E+20,616998104,h23,23020026,0.5,2014-3-15 6:41,2014-3-15 6:42,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,500元宝
40,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,300元宝,1.10032E+20,747619791,h1,1088959,0.3,2014-3-15 6:41,2014-3-15 6:42,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,300元宝
41,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,500元宝,1.10032E+20,82706380,h19,19017865,0.5,2014-3-15 6:42,2014-3-15 6:42,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,500元宝
42,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,404349398,h13,13016412,20,2014-3-15 6:44,2014-3-15 6:44,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,20000元宝
43,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,250561938,h2,2103031,20,2014-3-15 6:46,2014-3-15 6:46,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,20000元宝
44,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,404349398,h13,13016412,20,2014-3-15 6:46,2014-3-15 6:46,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,20000元宝
45,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,250561938,h2,2103031,20,2014-3-15 6:47,2014-3-15 6:47,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,20000元宝
46,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,5000元宝,1.10032E+20,337109959,h24,24017123,5,2014-3-15 6:48,2014-3-15 6:48,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,5000元宝
47,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,747619791,h1,1088959,0.05,2014-3-15 6:49,2014-3-15 6:50,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
48,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,5000元宝,1.10032E+20,337109959,h24,24017123,5,2014-3-15 6:49,2014-3-15 6:49,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,5000元宝
49,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,100元宝,1.10032E+20,780959554,h16,16050335,0.1,2014-3-15 6:49,2014-3-15 6:50,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,100元宝
50,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,200元宝,1.10032E+20,428035442,h20,20000214,0.2,2014-3-15 6:50,2014-3-15 6:51,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,200元宝
51,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,200元宝,1.10032E+20,780959554,h25,25016069,0.2,2014-3-15 6:52,2014-3-15 6:53,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,200元宝
52,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,169996995,h17,17027504,0.05,2014-3-15 6:53,2014-3-15 6:53,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,50元宝
53,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,428035442,h20,20000214,0.05,2014-3-15 6:54,2014-3-15 6:55,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,50元宝
54,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,286680998,h10,10017852,0.05,2014-3-15 6:57,2014-3-15 6:57,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
55,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,500元宝,1.10032E+20,298913815,h19,19035542,0.5,2014-3-15 6:58,2014-3-15 6:59,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,500元宝
56,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,280301162,h23,23014222,1,2014-3-15 6:58,2014-3-15 6:59,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,1000元宝
57,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,300元宝,1.10032E+20,266405559,h10,10007550,0.3,2014-3-15 6:59,2014-3-15 6:59,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,300元宝
58,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,266405559,h10,10007550,0.05,2014-3-15 7:00,2014-3-15 7:00,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,50元宝
59,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,276409202,h2,2036700,0.05,2014-3-15 7:00,2014-3-15 7:01,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
60,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,2000元宝,1.10032E+20,298913815,h19,19035542,2,2014-3-15 7:00,2014-3-15 7:00,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,2000元宝
61,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,5000元宝,1.10032E+20,298913815,h19,19035542,5,2014-3-15 7:03,2014-3-15 7:04,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,5000元宝
62,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,376548049,h1,1038558,20,2014-3-15 7:04,2014-3-15 7:06,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,20000元宝
63,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,330333828,h11,11041417,1,2014-3-15 7:04,2014-3-15 7:05,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,1000元宝
64,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,10000元宝,1.10032E+20,780931853,h25,25016645,10,2014-3-15 7:06,2014-3-15 7:06,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,10000元宝
65,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,428035442,h20,20000214,1,2014-3-15 7:07,2014-3-15 7:07,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,1000元宝
66,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,641446064,h12,12027752,1,2014-3-15 7:08,2014-3-15 7:08,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,1000元宝
67,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,370832033,h6,6001553,0.05,2014-3-15 7:09,2014-3-15 7:10,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
68,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,330333828,h11,11041417,20,2014-3-15 7:09,2014-3-15 7:10,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,20000元宝
69,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,2000元宝,1.10032E+20,280796826,h1,1055848,2,2014-3-15 7:11,2014-3-15 7:11,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,2000元宝
70,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,641446064,h12,12027752,0.05,2014-3-15 7:11,2014-3-15 7:11,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
71,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,300元宝,1.10032E+20,470897096,h3,3024476,0.3,2014-3-15 7:11,2014-3-15 7:12,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,300元宝
72,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,475472581,h3,3002983,1,2014-3-15 7:12,2014-3-15 7:12,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,1000元宝
73,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,298913815,h19,19035542,1,2014-3-15 7:13,2014-3-15 7:13,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,储蓄卡支付,1.10E+20,1000元宝
74,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,780931853,h25,25016645,1,2014-3-15 7:13,2014-3-15 7:13,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,1000元宝
75,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,475472581,h3,3002983,1,2014-3-15 7:13,2014-3-15 7:13,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,1000元宝
76,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,310996355,h9,9000494,1,2014-3-15 7:15,2014-3-15 7:16,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,1000元宝
77,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,2000元宝,1.10032E+20,45691745,h2,2009959,2,2014-3-15 7:16,2014-3-15 7:17,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,2000元宝
78,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,367794440,h7,7006272,20,2014-3-15 7:18,2014-3-15 7:18,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,20000元宝
79,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,276409202,h2,2036700,1,2014-3-15 7:18,2014-3-15 7:19,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,1000元宝
80,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,310996355,h9,9000494,0.05,2014-3-15 7:18,2014-3-15 7:19,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
81,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,1000元宝,1.10032E+20,395882514,h22,22007343,1,2014-3-15 7:18,2014-3-15 7:19,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,1000元宝
82,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,783215131,h25,25020176,0.05,2014-3-15 7:19,2014-3-15 7:20,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
83,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,235585734,h8,8000032,20,2014-3-15 7:19,2014-3-15 7:19,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,20000元宝
84,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,200元宝,1.10032E+20,774051336,h24,24014711,0.2,2014-3-15 7:19,2014-3-15 7:19,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,200元宝
85,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,605789071,h10,10016568,0.05,2014-3-15 7:20,2014-3-15 7:20,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
86,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,74922719,h19,19034798,0.05,2014-3-15 7:20,2014-3-15 7:21,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
87,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,742230520,h17,17010774,0.05,2014-3-15 7:20,2014-3-15 7:20,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,50元宝
88,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,200元宝,1.10032E+20,390913629,h17,17014180,0.2,2014-3-15 7:21,2014-3-15 7:21,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,200元宝
89,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,100元宝,1.10032E+20,774051336,h24,24014711,0.1,2014-3-15 7:21,2014-3-15 7:21,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,100元宝
90,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,399751326,h13,13003444,0.05,2014-3-15 7:21,2014-3-15 7:21,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,50元宝
91,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,74922719,h19,19034798,0.05,2014-3-15 7:22,2014-3-15 7:22,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
92,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,774051336,h24,24014711,0.05,2014-3-15 7:22,2014-3-15 7:22,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
93,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,296187697,h4,4000163,0.05,2014-3-15 7:22,2014-3-15 7:23,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
94,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,20000元宝,1.10032E+20,605789071,h10,10016568,20,2014-3-15 7:23,2014-3-15 7:23,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,20000元宝
95,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,296187697,h4,4000163,0.05,2014-3-15 7:23,2014-3-15 7:24,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,50元宝
96,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,50元宝,1.10032E+20,399751326,h13,13003444,0.05,2014-3-15 7:24,2014-3-15 7:24,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,50元宝
97,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,2000元宝,1.10032E+20,317070534,h1,1029801,2,2014-3-15 7:24,2014-3-15 7:24,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,2000元宝
98,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,300元宝,1.10032E+20,428933450,h2,2101584,0.3,2014-3-15 7:24,2014-3-15 7:24,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,信用卡,1.10E+20,300元宝
99,1.40315E+18,三国合伙人,8099d95af4d25e7dad6c938b6b232b23,100元宝,1.10032E+20,74922719,h19,19034798,0.1,2014-3-15 7:24,2014-3-15 7:25,,http://wapi.ldsg.lodogame.com:8088/webApi/payment.do,手机支付宝,1.10E+20,100元宝
